audiourl,title,artist,catalogue,writer,publishing
,Gin,Andre Williams,45-044,,
,California Street,"Untamed Youth, The",45-045,,
,Jenie Lee,"Untamed Youth, The",45-045,,
,Friday Night Dance Party,Link Wray & Bunker Hill,45-046,,Vernon Wray Music
,The Girl Can't Dance,Link Wray & Bunker Hill,45-046,,Vernon Wray Music
,Blackbeard,Flat Duo Jets,45-047,,
,Mr. Moonlight Mental,Flat Duo Jets,45-047,,
,Southern Drums,Flat Duo Jets,45-047,,
,Surfer Joe,Flat Duo Jets,45-047,,
,Cottonpickin',Jackie & the Cedrics,45-048,,
,Wine Wine Wine,Jackie & the Cedrics,45-048,,
,Black Saxes,Danny Zella And The Zell Rocks,45-049,,
,Wicked Ruby,Danny Zella And The Zell Rocks,45-049,,
,You Made Me Blue,Danny Zella And The Zell Rocks,45-049,,
,Louie Go Home,Danny Zella And The Zell Rocks,45-050,,
,Youngster Meets Monster,Danny Zella And The Zell Rocks,45-050,,
,Zebra,Danny Zella And The Zell Rocks,45-050,,
,Puddy Cat,Wade Curtiss & The Rhythm Rockers,45-051,,Hoody Music
,Real Cool,Wade Curtiss & The Rhythm Rockers,45-051,,Hoody Music
,I am Right,"Dictators, The",45-052,,Shernoff Music
,Loyola,"Dictators, The",45-052,,Shernoff Music
,Merry Christmas Loopy Lu,"Kaisers, The",45-053,,
,Tipsy,"Kaisers, The",45-053,,
,Santa Claus Is Coming To Town,Jackie & the Cedrics,45-054,,
,Silent Night Rumble,Jackie & the Cedrics,45-054,,
,Number Nine train,Dale Hawkins,45-055,,Bobby Robinson Sweet Soul Music
,On Account Of You,Dale Hawkins,45-055,,Jet Star Music
,Climb The Wall,Dean Morgan,45-056,,
,Good Rockin Tonight,Dean Morgan,45-056,,
,Little Maggie,Dean Morgan,45-056,,
,Rock My Blues Away,Dean Morgan,45-056,,
,Red River Rock,"Hentchmen, The",45-057,,
,Why Did God Make Girls,"Hentchmen, The",45-057,,
,Bright Lights,Wade Curtiss & The Rhythm Rockers,45-058,,Hoody Music
,Bright Lights,Wade Curtiss & The Rhythm Rockers,45-058,,Hoody Music
,Go Girl Go,"Untamed Youth, The",45-059,,
,Hot Lips Baby,"Untamed Youth, The",45-059,,
,Peephole,"Church Keys, The",45-060,,
,Staggerin',"Church Keys, The",45-060,,
,Gotta Lotta That,Gene Summers with the Rebels,45-061,,
,Nervous,Gene Summers with the Rebels,45-061,,
,Twixteen,Gene Summers with the Rebels,45-061,,
,Chocolate milk Honeymoon,Hasil Adkins and his Happy Guitar,45-062,,
,Seasick Cruise,Hasil Adkins and his Happy Guitar,45-062,,
,Electric's Theme,Wade Curtiss & The Rhythm Rockers,45-063,,Hoody Music
,Surfin' Bird,Wade Curtiss & The Rhythm Rockers,45-063,,"Atlantic Music Corp, Beechwood Music Corporation"
,Driftin,Terry Lee and The Poor Boys,45-064,,
,Hound Dog,Terry Lee and The Poor Boys,45-064,,
,My Little Sue,Terry Lee and The Poor Boys,45-064,,
,Whole Lotta Shakin' Goin' On,Terry Lee and The Poor Boys,45-064,,
,I Wanna Be Your Boyfriend,Ramones ,45-065,,"Taco Tunes, Blue Disque Music, Mutated Music"
,Judy Is A Punk,Ramones ,45-065,,"Taco Tunes, Blue Disque Music, Mutated Music"
,Don't Believe in Christmas,"Sonics, The",45-066,,
,Santa Claus,"Sonics, The",45-066,,
,Rompin',Wade Curtiss & The Rhythm Rockers,45-067,,Hoody Music 
