audiourl,title,artist,catalogue,writer,publishing
,Rock And Roll Deacon ,Various Artists ,I Hate CD's: Norton Records 45 RPM Singles Collection Vol. 1 ,,
,Rockin' The Joint ,Various Artists ,I Hate CD's: Norton Records 45 RPM Singles Collection Vol. 1 ,Eskew Reeder,
,Rockin' This Joint To-Nite ,Various Artists ,I Hate CD's: Norton Records 45 RPM Singles Collection Vol. 1 ,T. Louis,
,September Gurls ,Various Artists ,I Hate CD's: Norton Records 45 RPM Singles Collection Vol. 1 ,Chilton,
,Slow Down ,Various Artists ,I Hate CD's: Norton Records 45 RPM Singles Collection Vol. 1 ,Williams,
,Surfside Date ,Various Artists ,I Hate CD's: Norton Records 45 RPM Singles Collection Vol. 1 ,,
,The Limp ,Various Artists ,I Hate CD's: Norton Records 45 RPM Singles Collection Vol. 1 ,,
,The Monkey Speaks His Mind ,Various Artists ,I Hate CD's: Norton Records 45 RPM Singles Collection Vol. 1 ,,
,The Witch ,Various Artists ,I Hate CD's: Norton Records 45 RPM Singles Collection Vol. 1 ,,"Hoody Music, BMI "
,Twinkle Toes ,Various Artists ,I Hate CD's: Norton Records 45 RPM Singles Collection Vol. 1 ,,
,Who Will Save Rock And Roll? ,Various Artists ,I Hate CD's: Norton Records 45 RPM Singles Collection Vol. 1 ,A. Shernoff,
,Zippered Up Heart ,Various Artists ,I Hate CD's: Norton Records 45 RPM Singles Collection Vol. 1 ,,
,16 Forever ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,Shernoff-Friedman-Kempner,
,99 Chicks ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,Ron Haydock,"Don-Del, BMI"
,Banshee ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,Lee,"Hoody Music, BMI "
,Busy Body ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,,
,Camel Walk ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,Saxons,
,Common At Noon ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,J. Felice,"Greenline, BMI"
,Daddy Rollin' Stone ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,,
,Disintergration ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,Ready,"Hoody Music, BMI "
,Fancy Dan ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,****,
,I Don't Want No Bald Headed Woman Telling Me What To Do ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,Nathaniel Mayer,"Washpan, BMI"
,It's A Lie ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,A. A. Khan,
,It's Lame ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,Dixon-Downey,"Lame Toonz, BMI"
,Let's Dance ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,,"Hoody Music, BMI "
,Little Girl Gone ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,,"Don-Del, BMI"
,Little Red Book ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,Benny Joy Eidson,
,Maxine ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,Derwald-Curtiss,"Hoody Music, BMI"
,Merry-Go-Round ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,Lewis Reed,
,My Testament ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,,
,Out Of This World ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,"George ""Gino"" Washington","Washpan, BMI"
,Papa Lou And Gran ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,,
,Party Date ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,Canida,
,Put De Pot On Mary ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,P. Perkins,"Hoody music, BMI"
,Quarter To Four ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,,
,Railroad Drag ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,****,"Hoody Music, BMI"
,Rally In The Valley ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,Rudy Ray moore,
,Rock 'Til The End Of Time ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,*******,"Hoody, BMI"
,Rock-N-Bones ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,,
,Scalping Party ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,,
,So Many Girls ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,The Hentchmen,"Front Porch Entertainment, BMI"
,Stay Away ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,A. Lee,
,Stop And Think It Over ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,Greg Cartwright,"Big Gamble, ASCAP"
,Study Hall ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,,"Hoody Music, BMI"
,Surfin' Crow ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,****,
,Surfin' Fun ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,,
,Trick Bag ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,,
,Viva Viva Rock And Roll ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,Chuck Berry,
,Walking Beside You ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,,"Hoody Music, BMI"
,We're Getting Closer To Being Apart ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,,
,Weird ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,,"Hoody Music, BMI "
,What A Way To Die ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,D. ?eone,
,Wild Track ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,,
,Wobble Wickie ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,*****,"Hoody Music, BMI"
,You're Gone I'm Left ,Various Artists ,I Still Hate CD's: Norton Records 45 RPM Singles Collection Vol. 2 ,T. Schmidling,
,Baby I Miss You So ,Various Artists ,Norton/Massabesic105,,
,Baby Stop Your Crying (Acappella) ,Various Artists ,Norton/Massabesic105,,
,Baby You Know You're Wrong ,Various Artists ,Norton/Massabesic105,G. Cromwell ,"EMI BLACKWOOD MUSIC INC, BMI "
,Could This Be You ,Various Artists ,Norton/Massabesic105,,
,Got to Be Swinging Along ,Various Artists ,Norton/Massabesic105,,
,I Can't Forget (Acappella) ,Various Artists ,Norton/Massabesic105,,
,Love Was Made for Everyone ,Various Artists ,Norton/Massabesic105,,
,Margie ,Various Artists ,Norton/Massabesic105,,
,My Sweet Baby (Acappella) ,Various Artists ,Norton/Massabesic105,,
,Praying for a Miracle ,Various Artists ,Norton/Massabesic105,,
,Sandy ,Various Artists ,Norton/Massabesic105,B. and T. Mancuso ,
,Say I Do ,Various Artists ,Norton/Massabesic105,,
,Since I Met You Baby ,Various Artists ,Norton/Massabesic105,Ivory Joe Hunter ,"UNICHAPPELL MUSIC INC, BMI "
,Teen Angel ,Various Artists ,Norton/Massabesic105,,
,The Bells of Saint Mary's (Acappella) ,Various Artists ,Norton/Massabesic105,"Traditional, REBEL LUKE III ","PRIMESTAR PUBLISHING, BMI "
,White Cliffs of Dover ,Various Artists ,Norton/Massabesic105,Stanley J. Lewis ,"SU-MA PUBLISHING COMPANY, BMI "
,"(Yeah, Baby) It's Because of You ",Various Artists ,Norton/The Wind 002,Devora Brown ,"Trianon Publication, BMI "
,Do You Remember What You Did ,Various Artists ,Norton/The Wind 002,Nolan Strong ,"Trianon Publication, BMI "
,Harriette It's You ,Various Artists ,Norton/The Wind 002,"Nolan Strong, Devora Brown ","Trianon Publication, BMI "
,I Want to Be Your Happiness ,Various Artists ,Norton/The Wind 002,,"Trianon Publication, BMI "
,Mind Over Matter ,Various Artists ,Norton/The Wind 002,Devora Brown ,"Trianon Publication, BMI "
,The Mambo of Love ,Various Artists ,Norton/The Wind 002,Devora Brown ,"Trianon Publication, BMI "
,The Way You Dog Me Around ,Various Artists ,Norton/The Wind 002,Nolan Strong ,"Trianon Publication, BMI "
,The Wind ,Various Artists ,Norton/The Wind 002,Strong-Eubanks-Guiterriez-Hunter-Edwards ,"Trianon Publication, BMI "
,"You're the Only One, Delores ",Various Artists ,Norton/The Wind 002,Nolan Strong ,"Trianon Publication, BMI "
,Baby Say Bye Bye,Ron Haydock & The Boppers,Pounders Vol. 1,,
,Black Cadillac,Sonny Wallace,Pounders Vol. 1,,
,Bloodshot,String Kings,Pounders Vol. 1,,
,Chicken Session,Larry De Rieux,Pounders Vol. 1,,
,Chicken Walk,Hasil Adkins,Pounders Vol. 1,,
,Don't Be Unfair,Bob Taylor & The Counts,Pounders Vol. 1,,
,Everybody's Boppin',Clayton Watson & The Silhouettes,Pounders Vol. 1,,
,"Hop, Skip and Jump",The Del Mingos,Pounders Vol. 1,,
,"Little Girl, Little Girl",Benny Joy,Pounders Vol. 1,,
,Marlene,Sonics,Pounders Vol. 1
,Maxine,Dixie Dee,Pounders Vol. 1
,My Little Mama,Gene Rambo & The Flames,Pounders Vol. 1
,Red Chevrolet,The Crew,Pounders Vol. 1
,Rock House,Bobby Fuller,Pounders Vol. 1
,Sarah Jane,Don Orr & The Original Rockets,Pounders Vol. 1
,Shake Um up Rock,Benny Cliff,Pounders Vol. 1
,The Raging Sea,Gene Maltais & The Gibson String Band,Pounders Vol. 1
,Untrue,Bob Vidone & The Rhythm Rockers,Pounders Vol. 1
,Willie Was a Bad Boy,Ray Gentry & The Rovin' Gamblers,Pounders Vol. 1
,Young and Wild,Renegade Five & Kim Fowley,Pounders Vol. 1
,April,The Hentchmen,Pounders Vol. 2
,Backseat Boogie,The Dictators,Pounders Vol. 2
,Better Be Good,The Real Kids,Pounders Vol. 2
,Daddy Rockin' Strong,The Dirtbombs,Pounders Vol. 2
,Death Train Blues,Daddy Long Legs,Pounders Vol. 2
,ExplicitBandstand,Tandoori Knights,Pounders Vol. 2,
,Geraldine,A-Bones,Pounders Vol. 2,
,Hey Country Girl,Andre Williams,Pounders Vol. 2,
,Lonely Wolf,Flat Duo Jets,Pounders Vol. 2,
,My Heart Is Beating,Mary Weiss & Reigning Sound,Pounders Vol. 2,
,Personality Crisis,New York Dolls,Pounders Vol. 2,
,Pretty Boy,The Gaye Blades,Pounders Vol. 2,
,Rollerland,Untamed Youth,Pounders Vol. 2,
,She's a Mover (Studio Rehearsal),Big Star,Pounders Vol. 2,
,Slow Death,Flamin' Groovies,Pounders Vol. 2,
,The Lemon Drop,"Dave ""Baby"" Cortez",Pounders Vol. 2,
,Thunder and Lightening,Bloodshot Bill,Pounders Vol. 2,
,World of Pain,Figures of Light,Pounders Vol. 2,
,You Better Hide,The Ding-Dongs,Pounders Vol. 2,
,Your Love Is Amazing,La La Brooks,Pounders Vol. 2,
,(I Live For) Cars And Girls ,The Dictators ,,A. Shernoff
,"Baby, Let's Twist ",The Dictators ,,A. Shernoff,"Shernoff Music, BMI"
,I Am Right! ,The Dictators ,,A. Shernoff,
,Intro ,The Dictators ,,A. Shernoff,"Shernoff Music, BMI"
,Master Race Rock ,The Dictators ,,A. Shernoff,"Shernoff Music, BMI"
,Minnesota Strip ,The Dictators ,,A. Shernoff,"Shernoff Music, BMI"
,"New York, New York ",The Dictators ,,A. Shernoff,
,Pussy and Money ,The Dictators ,,A. Shernoff,"Shernoff Music, BMI"
,Stay ,The Dictators ,,A. Shernoff,"Shernoff Music, BMI"
,Two Tub Man ,The Dictators ,,A. Shernoff,
,What's Up With That? ,The Dictators ,,A. Shernoff,"Shernoff Music, BMI"
